"gene_id","hms_id","class_min","Approved.Symbol"
1956,10141,3,"EGFR"
1969,10141,3,"EPHA2"
2011,10141,3,"MARK2"
2041,10141,2,"EPHA1"
2042,10141,3,"EPHA3"
2043,10141,3,"EPHA4"
2044,10141,10,"EPHA5"
2045,10141,3,"EPHA7"
2046,10141,3,"EPHA8"
2047,10141,3,"EPHB1"
2048,10141,3,"EPHB2"
2049,10141,10,"EPHB3"
2050,10141,3,"EPHB4"
2051,10141,2,"EPHB6"
2064,10141,10,"ERBB2"
2065,10141,10,"ERBB3"
2066,10141,3,"ERBB4"
2081,10141,3,"ERN1"
2185,10141,2,"PTK2B"
2241,10141,3,"FER"
2242,10141,2,"FES"
2260,10141,2,"FGFR1"
2261,10141,2,"FGFR3"
2263,10141,2,"FGFR2"
2264,10141,3,"FGFR4"
2268,10141,1,"FGR"
2312,10141,2,"FLG"
2321,10141,3,"FLT1"
2322,10141,1,"FLT3"
2324,10141,3,"FLT4"
2444,10141,2,"FRK"
2475,10141,10,"MTOR"
2534,10141,1,"FYN"
2580,10141,1,"GAK"
2868,10141,2,"GRK4"
2872,10141,2,"MKNK2"
2931,10141,10,"GSK3A"
2932,10141,10,"GSK3B"
3055,10141,3,"HCK"
3480,10141,3,"IGF1R"
3551,10141,2,"IKBKB"
3643,10141,2,"INSR"
3645,10141,3,"INSRR"
3654,10141,2,"IRAK1"
3702,10141,2,"ITK"
3716,10141,2,"JAK1"
3717,10141,1,"JAK2"
3718,10141,1,"JAK3"
3791,10141,3,"KDR"
3815,10141,2,"KIT"
3932,10141,1,"LCK"
3984,10141,2,"LIMK1"
3985,10141,3,"LIMK2"
4058,10141,3,"LTK"
4067,10141,2,"LYN"
4117,10141,10,"MAK"
4139,10141,2,"MARK1"
4140,10141,2,"MARK3"
4145,10141,3,"MATK"
4214,10141,10,"MAP3K1"
4215,10141,3,"MAP3K3"
4216,10141,3,"MAP3K4"
4217,10141,10,"MAP3K5"
4233,10141,3,NA
4293,10141,3,"MAP3K9"
4294,10141,3,"MAP3K10"
4296,10141,3,"MAP3K11"
4485,10141,10,"MST1"
4486,10141,10,"MST1R"
4593,10141,2,"MUSK"
4638,10141,2,"MYLK"
4661,10141,10,"MYT1"
4750,10141,3,"NEK1"
4751,10141,3,"NEK2"
4752,10141,2,"NEK3"
4914,10141,2,"NTRK1"
4915,10141,3,"NTRK2"
4916,10141,3,"NTRK3"
4921,10141,2,"DDR2"
5058,10141,3,"PAK1"
5062,10141,3,"PAK2"
5063,10141,10,"PAK3"
5127,10141,3,"CDK16"
5128,10141,2,"CDK17"
5129,10141,3,"CDK18"
5156,10141,3,"PDGFRA"
5159,10141,1,"PDGFRB"
5163,10141,10,"PDK1"
5170,10141,10,"PDPK1"
5218,10141,3,"CDK14"
5260,10141,2,"PHKG1"
5261,10141,3,"PHKG2"
5287,10141,10,"PIK3C2B"
5288,10141,10,"PIK3C2G"
5290,10141,3,"PIK3CA"
5291,10141,10,"PIK3CB"
5292,10141,10,"PIM1"
5293,10141,10,"PIK3CD"
5294,10141,3,"PIK3CG"
5298,10141,3,"PI4KB"
5310,10141,10,"PKD1"
5311,10141,10,"PKD2"
5347,10141,2,"PLK1"
5562,10141,3,"PRKAA1"
5563,10141,3,"PRKAA2"
5566,10141,10,"PRKACA"
5567,10141,10,"PRKACB"
5580,10141,10,"PRKCD"
5581,10141,3,"PRKCE"
5583,10141,10,"PRKCH"
5584,10141,10,"PRKCI"
5585,10141,3,"PKN1"
5586,10141,10,"PKN2"
5587,10141,10,"PRKD1"
5588,10141,10,"PRKCQ"
5592,10141,3,"PRKG1"
5593,10141,3,"PRKG2"
5594,10141,10,"MAPK1"
5595,10141,10,"MAPK3"
5596,10141,10,"MAPK4"
5597,10141,3,"MAPK6"
5598,10141,1,"MAPK7"
5599,10141,2,"MAPK8"
5600,10141,10,"MAPK11"
5601,10141,2,"MAPK9"
5602,10141,2,"MAPK10"
5603,10141,10,"MAPK13"
5604,10141,3,"MAP2K1"
