CHEBI	PUBCHEM
3844	223439350
3845	223439351
3846	223439352
3847	223439353
3850	223439354
3851	223439355
3852	223439356
3854	223439357
3855	223439358
3856	160711983
3856	172120884
3861	223439359
3862	223439360
3863	223439361
3864	223439362
3865	223439363
3867	223439364
3868	223439365
3869	223439366
3870	223439367
3872	223439368
3875	162169165
3882	223439369
3883	223439370
3884	87246414
3885	223439371
3886	223439372
3887	223439373
3888	223439374
3889	223439375
3892	96079586
3897	223439376
3898	223439377
3899	223439378
3900	87350408
3901	96079579
3902	223439379
3903	24775867
3904	223439380
3905	223439381
3907	223439382
3908	162012089
3911	223439383
3914	223439384
3915	223439385
3916	223439386
3917	223439387
3918	85240155
3920	223439388
3921	223439389
3925	223439390
3926	223439391
3927	223439392
3929	223439393
3930	223438260
3931	223439394
3932	223439116
3934	223439395
3935	223439396
3937	223439397
3940	223439398
3941	123058751
3942	223439399
3943	123058752
3944	123058748
3945	223439400
3946	223439401
3947	164347279
3948	164347280
3949	223439402
3950	223439403
3951	223439404
3952	223439405
3953	223439406
3954	223439407
3955	223439408
3956	223439409
3957	223439410
3958	223439411
3960	162012063
3961	223439412
3962	8145866
3964	223439413
3978	24434785
3980	223439414
3982	26744223
3985	223439415
3987	223439416
3988	92740987
3993	223439417
3994	56394858
3996	96079553
3997	96079583
3999	223439418
4001	223439419
4002	223439420
4003	223439421
4019	223439422
4021	223439423
4024	96079578
4025	96079584
4026	92740979
4027	11533313
4029	223439424
4031	8147029
4032	223439425
4033	223439426
4034	26675705
4035	26675647
4036	26675704
4037	223439427
4038	223439428
4039	223439429
4040	223439430
4041	223439431
4042	26675646
4044	223439432
4045	223439112
4046	96079554
4047	26744222
4055	163626647
4056	85305412
4071	223439433
4075	111978153
4077	49693489
4083	123058749
4093	22396112
4109	223439434
4110	92740983
4116	312530904
4117	164174534
4125	223439435
4126	46530530
4139	22396111
4141	46530529
4153	46530528
4167	22396026
4170	29214830
4174	46530577
4177	124403641
4188	99319093
4191	22396005
4208	22396012
4219	223439436
4221	223439437
4222	121269843
4223	223439438
4235	26697400
4249	49693488
4250	49693729
4251	46530527
4259	223439439
4260	223439440
4280	8145864
4284	223439441
4285	223439442
4286	14718049
4289	223439443
4290	46530526
4294	223439444
4299	223439445
4300	223439446
4302	223439447
4303	223439448
4304	223439449
4305	11533312
4308	223439450
4309	223439451
4310	223439452
4311	223439453
4312	223439454
4313	223439455
4314	223439456
4315	56352871
4316	223439113
4317	96079574
4318	96079580
4319	223439457
4320	223439458
4321	93581320
4323	223439459
4324	163725481
4325	96079555
4326	223439460
4327	223439461
4329	223439462
4331	49742698
4342	223439463
4343	223439464
4344	223439465
4345	223439466
4349	53801149
4351	223439467
4352	223439468
4353	223439469
4354	160644649
4356	50139456
4357	223439470
4360	223439471
4361	223439472
4363	223439473
4364	223439474
4365	223439475
4366	223439476
4367	223439477
4368	223439478
4369	223439479
4370	223439480
4371	223439481
4372	49742912
4373	223439482
4377	223439483
4379	99313628
4380	223439484
4381	223439485
4383	223439486
4384	223439487
4385	223439488
4387	8145862
4388	26676106
4389	223439489
4390	223439490
4391	99319079
4392	99313629
4393	135610167
4394	223439491
4395	223439492
4397	223439493
4399	223439494
4400	223439495
4401	223439496
4402	223439497
4409	223439498
4410	223439499
4414	223439500
4417	223439501
4419	223439502
4427	223439503
4428	223439504
4429	223439505
4431	223439114
4433	223439506
4435	223439507
